useful,reviewText,funny,cool
3,"A must on anybody's Toronto best eats bucket list. Can't speak for any other location to get Sukho Thai but this little restaurant tucked at Parliament and Dundas had all the charm and cozy for me to want to go back stat. Small and just shy of hip, has you focussing on the food rather than the decor. Serves mean Thai cuisine, right up there with Pai and Khao San Road.

Chicken pad thai ($15.50) - amazingly delicious. Recommended dish for everyone, way different from the mall foodcourt dish you're used to. Sweet, savory, flavorful. Complicated combination of ingredients but all you can taste or think of is perfectly cooked noodles... enough for you to dismiss the cost. 5/5

Beed khao soi ($15.50) - also amazing. Soup was heavy with amazing flavour. Taste notes and textures diverse. Had me going in for the next bite before I finished the one I was working on. 4.5/5

Thai iced tea ($4.50) - served in a large mason cup, dense, orange tea topped with a thick layer of condensed milk. Drink slowly to allow the ice to melt some into the drink. A must! 4/5

Very happy with this dinner decision! Service was quick and accurate. Overall rating 4.5/5",0,2
4,"I can't speak for too many things on the menu here, as every time I've been here I'm seduced by the moules et frites. They aren't my favorite rendition in town, but they are deliciously, classically prepared, with plenty of golden, crispy fries (which will inevitably be snitched by your dining companions who've made other choices). On our last visit we also indulged in the cheese board, and the only problem with that is having to choose which of the many cheese selections to include (my favorite was the Ewe Calf to be Kidding). Of course, for the beer drinkers, there is a long list to choose from, but for those of us who prefer wine, the selection isn't half bad, either.",0,4
3,"I have been a customer of this Firestone location for the last 5 years. My car is on the older side and they have gotten a fair amount of business out of it over those years with some not-so-insignificant repairs in the mix. They've always done a fine job. So, it was only natural to call last week on Thursday morning when I found coolant leaking underneath my car. 

Worst.
Decision.
Ever.

From the very first phone call, it felt like nothing but an inconvenience to bring them my business. After enduring some attitude from the person on the phone, they eventually they decided it was ok for me to drop my car off on Saturday morning. When I did, I was asked if I wanted them to just figure out what was wrong with it, or if I would want them to fix it too. Well, yes, please fix my broken car - this is why I'm bringing it to you. Then I was told if it needed a repair, it would likely take until Sunday afternoon. Fine. I didn't hear from them the rest of the day. Or the next morning. I finally called THEM on Sunday afternoon for a status update and low and behold they did have a quote in the system for the repair, just no one had called to discuss it with me. Can't start the work without an ""ok"" on the quote first. Furthermore, they now had no one working that could do the repair that day, but stated that someone would be in tomorrow that could repair my radiator. So they kept my car another night. 

Monday afternoon rolls around and I get a call stating that, in fact, they couldn't get to my car again and would need to keep it until Tuesday to perform the repair. Now we are at 6 days that I haven't been able to drive my car, 4 of which were spent literally just parked at this Firestone. 

I was finally able to pick up my car at the END OF DAY on TUESDAY, for a radiator repair. When I voiced my frustration, I didn't even receive so much as an apology for the delay. 

As convenient as this location is, I will never bring my business back. So long Firestone.",0,0
0,"Terrible membership cancellation policy, requiring filing paperwork at the original signup location and losing all unused credits.  Even if you move you are still tied to your original location.  The membership is a scam, don't do it.",0,0
0,"We tried our first door dash order from Big Guys Pizza.  Not real impressed. We got our order in the time set.  I ordered Buffalo wings and got plain and bit too crispy.  The pizza we ordered had a good crust, could not tell if it had sausage on it and could not taste the sauce, pretty bland. Probably will not order again.",0,0
0,Not a bad spot for quick Asian style food. Very friendly and reasonable prices. They accommodate substitutions and requests. It's a step up from Asian take out from the mall. Would recommend.,0,0
0,"We had take out and loved it.  It's nice to have a good Greek option close by finally.  I also like that's it's family owned and operated. 


9/7/17 update:  They changed their menu and took away all the unique Greek options I had enjoyed previously.",0,0
1,"I'm rarely pleasantly surprised by airport restaurants. This was no exception. 

The seafood bisque was small and had more chives and salt than seafood. The burger patty was ok but the toppings and bun were lacking in freshness. The service was also as others have mentioned. 

As a classic rock fan though, I enjoyed the music and had time to kill so it served the purpose and was, as I said, about what I'd expected.",0,1
0,"My favorite spa in the world, this place is magic.

The staff is wonderful, and as soon as you walk in it transports you to a different place and pace. The robes and slippers immediately feel like heaven, and I could've just hung out all day in the waiting room sipping on their homemade limeade.

I had the la stone massage and a scrub over the week or so that I stayed at the Westin Kierland, and I still dream of this place.",0,0
8,"If you are someone who sees the fashion in art, and the art in fashion, you will enjoy this mall.

Not only does this shopping center boast couture shops like Lanvin, Balenciaga, Dior and Versace (did you say ""Foe-Sa-Chee!?"") to name a few, but the architecture and art displays here are AMAZING.  So even if your pockets aren't deep enough to drop a G on some new Jimmy Choo heels, or a Kiki de Montparnasse brassiere.... or a few more G's on Harry Winston Ice, there is still a lot of artful eye candy to enjoy just by window shopping and walking around in the spacious corridors. And in my experience, the workers in the boutiques have been briefed with the Pretty Woman memo, who are courteous and helpful even to flip-flop wearing and leftovers-in-plastic-bag carrying gals like me.  They did, however, back up slowly in caution when I started drooling over the shoes. ;)

The Rodney Lough gallery never ceases to amaze me with the wonderful landscape photography, and The Gallery, which has Dale Chihuly's glass artwork featured (he has installations at the Bellagio too), is simply breathtaking.

Don't forget to check out the big-a$$ typewriter eraser in the outside walkway too!",8,7
0,Got the Veggie Sub from here and it was pretty good. The service was fast and friendly and all the ingredients tasted very fresh. The sandwich was neither dry nor soggy and seemed to hold everything okay. I wish that they had more choices of bread BUT otherwise I enjoyed my food.,0,0
4,"I was misdiagnosed by Dr. Miles.  I was uneasy about the glibness of my diagnosis so I sought our another doctor who disagreed with her diagnosis.  Apparently he was correct as he did not need to perform surgery and fixed the problem.  My problem wasn't cancer, but her lack of thoroughness for her specialty which is colorectal surgery could have proved quite dangerous to me.  Then their billing clerk Kim failed to post my payment on the day of service and sent me an invoice.  Tried to call her by had to leave a message that she never returned.  When 3 weeks later I finally was able to call and she answered the phone, it appeared she just ignored my call.  It took her 30 seconds to find and fix her mistake all the while blaming me.  To me everyone there is inept.  Find another doctor.",0,0
0,"Their portions are unexpectedly huge. I've gotten their sweet and sour chicken combination several times now and it's always the same way. There's enough chicken there for three people! The fried rice portion is average-sized, so I have started ordering an extra pint for the leftover chicken. The chicken itself is also wonderful; large, solid chunks.

Their wonton soup is also good. Not the best I've ever had, but it ranks highly against other carryout places I've been to.

Their prices are a tad above the average, but for the portion sizes and quality I find it worth the extra cost.",0,0
0,Great meatballs for an appetizer and Jalil is a great server. Excellent pear Gelato! Pizza was also excellent!  Stuffed pasta was great too!,0,0
0,"Open till late and food is ok but the ambience is great...AWESOME FOR A MID-NIGHT DRINK

So! Dont roll your eyes when your read what's next. I wanna go to this place again to check out the ""TOTO."" (If u don't know, I ain't telling).  The food is not gonna be heavenly but it s fine for a sushi dinner. Love the Sake carafes! (might have had 2, all by myself) Great place to go with a bunch of friends and could be a potential douche bag hang-out depending on what time of the night. Food is a little overpriced but who cares about food when you are drunk. 

It gets a half-extra star (so technically 3.5 stars) for the late hours",0,0
2,"I'm surprised no one else has reviewed this yet! I guess I'll be the first. Let me start with the good: Everyone on staff was super nice, and the ride along in a dragster was SO FUN. 

Now onto the reasons I only gave them 3 stars. 
Organization is not something this place is familiar with. Neither is punctuality. We signed up for a ride along, and scheduled an appointment time. Not sure why we had an ""appointment"" since it was disregarded as soon as we got there. We thought (and the website led us to believe) that we were getting an individualized experience. We were not. There was a group of people there also for a variety of activities. We were not split up into groups based on our activity. People there for ride alongs had to sit through the lesson on how to drive a dragster yourself. Why? Also, we had to wait over an hour and a half past our appointment time for our actual ride. Why? Because the ride along driver wasn't there. Not sure why he couldn't get to work on time, but we were forced to wait because of it. Also, they hadn't prepped the track yet!! They KNEW they had ride alongs and rides that day, they KNEW they would be using the track, and yet didn't prep it until we were all there waiting. Furthermore, they didn't even have all their machinery to prep available. We had to wait even LONGER for them to get their machines ready. Finally, when the driver arrived and the track was ready, we were then told we had to wait for some other people to go before us (who had later appointment times and got there after us) because they signed up for both a ride along and to drive a dragster. Not cool.

My recommendation to this place is to GET ORGANIZED. Having people make an appointment and then making them WAIT FOR AN HOUR AND A HALF is unacceptable. But I guess they don't care because there's no refunds, so it's not like I could complain about their bad service and get my money back. Furthermore, I wasn't about to complain to people who were going to have my life in their hands going 144mph. 

If you decide to go for a dragster ride along or private drive, make sure you don't have anything else going on that day.",0,0
0,"I came to this Popeyes location to get food for me and my sister at 10:40 and when I pulled through the drive thru they said they were closed, they close at 11. I then saw a bunch of other cars go through the drive through and even one lady went up to the doors and they were locked.",0,0
0,"Stopped by for breakfast this morning...

Super cute decor.  Sort of small on the inside but seemed to have a good size patio with misters. 

We were told initially our wait would be 30 minutes, but it was less than 10.  While that is good for us, we did almost leave initially because we weren't sure we had time for a 1/2 hour wait.  Glad we waited! 

I had the Monte Cristo which was FABULOUS with the upgraded side of the hash brown casserole. My husband had 2 sliders: fried chicken & the BBQ pork carnitas with Asian slaw.  Everything was delicious!!! The only weird thing was the pricing seemed odd.  My huge monte cristo that came with a side was $11 and husbands two small sliders that didn't come with a side was $10.  

Everyone else's  food around us looked delicious too... and the lady across from us was excited to get the monte cristo I had on her next visit.

Definitely will come back and definitely recommend it!",0,0
2,"Even nastier than the rooms at this hotel is its restaurant.  The omelet was rancid, and the service was beyond rude.  The breakfast buffet was pathetic.  And you cannot get an omelet with the buffet, but you would not want either anyway.",0,0
0,Pretty good samosas. I tried their veg and chicken samosa and they were very tasty. They can work on the chutney provided with it. Also jalebis were decent. Didnt fi d the sweets that awesome. But for samosas its a very good option and rightly priced.,0,0
0,"Not bad for a quick lunch. The vegan food is not that good (cheeze). Some of the servers are nice, others are generally indifferent. My favoite dish is the cheese enchilada dish (half green, half red sauce). I wouldn't make a night out of it, more of a stop-by place",0,0
1,Never have a hostess wait 5 minutes to get noticed poorly managed that's on a to go order!,0,0
1,"In agreement with other reviewers, AYCE was good. (Solidly good, not rave-about-it-great). Service was, however, great. The two rolls that stood out to me were the Ecstasy roll and the Pixie Roll, the latter is from a super-special section of the menu from which you can only order one of the five options. That's it. One. AYCE with rules, of course. Always with the rules...

Two things I liked is that they offer half-rolls or whole rolls. And, when I asked for ""easy rice"" aka ""diet rice,"" they definitely accommodated. 

Pass on the tempura ice cream. Very meh.

We had a 1:30 lunch, and there was no wait, so nice and low-key, with prompt and observant service. $22 for lunch AYCE.",1,0
1,This place has only been open for a few days and we tried it out. I loved their chocolate bundt cake but did not care for their roast beef or their trio salad. Their water and pickles were their best things. A waitress was giving samples of their oatmeal but when she gave me a spoon for it. She placed her bandaided thumb right in the spot of the spoon that goes into your mouth. I understand it will take some time for the employees to learn their jobs but I doubt that this place will be much if a hit.  good luck corner bakery!!,1,0
0,"This used to be my favorite go-to spot for Korean food but sadly after visiting some other restaurants in the are Id have to say that my love for it has gone down :(.

I used to think that the sides were normal and that they were supposed to be really sweet/sour (and I feel most of their side dishes taste this way), but after eating at some other restaurants that have better-tastings sides and also offer more sides, I don't enjoy the sides at Kachi anymore.

Id still come here for the seafood pancake, I think that they make that pretty well here it's very crispy and delicious. 

Their pork bone soup used to be one of my favorites but again I have found cheaper places where the bones tear apart easier and the meat is much more tender :(. T
he spicy noodle rice cake was also one of my favs but they now make the portion ridiculously huge in a bowl so that the noodles and rice cakes at the bottom get soggy quick. And It's filled with veggies now too. I alwways feel overwhelmed now when I order it and it ends up not tasting so good once I get past the top layer.",0,0
0,"Lydia (the owner), Lisa, and the rest of the staff were wonderful!! The flowers for my wedding were the most important thing to me. I was going for a fall rustic/chic type wedding and they were able to give me exactly what I was hoping for. 

Lydia was extremely helpful and patient during my wedding planning. We had met in person for a meeting with my fiancé included and also had several email and phone call exchanges.  Every request I had she was able to help me with. My bouquet, the girls bouquets, boutineers, table arrangements, wine barrel arrangements, etc. were all beautiful. 

I even came in on the Thursday before my wedding to approve the flowers which was so nice because the changes I had wanted were met for my wedding day and the staff was extremely accommodating. Will certainly come back for any other arrangements needed. And pricing is very reasonable!! Love it here.",0,0
2,"Wife and I went there for the first time.  I was suprised at the size of the place and at how modern and nice the atmosphere is.
Our waiter, Daniel, was very personable and offered suggestions to my wife as to the chili sauce that was served with her meal.  She was a bit timid about things spicy and when she heard Jalopenos she veered away.  With a little coaxing though she tried it and then ate it all.
She had a pork burrito which she gave a 4 star to.  I had a pollo fundido  which was good and certainly had a LOT of chicken in it.  I'd give mine four stars also  because I'm a pushover ofr lots of melted cheese.
As mentioned before, the wait staff was very good.  Daniel really knew the menu and shared it with us.
Will come again.",1,1
0,"My mortgage has been with Evergreen for a few years now and the customer service has been fantastic. I've always had a great experience in making payments, requesting documents or general questions. Rita usually helps me and always with a smile. 
Zaida is new at the reception area and she is super nice, I arrived right after closing time, her computer was already off but she didn't hesitate to help me with a smile and take my payment. I went in again a week or so later, she remembered me and again awesome greeting with a smile. 
Thank you Evergreen for always going above and beyond!",0,0
3,"Only been here once!!! They had a live Dj which I loved!!!  

The sushi was fine.... Nothing to amazing though!

Sadly the service sucked I had to ask multiple times for chopsticks and napkins!  my drink cup was left empty so many times and I had to ask many times for drinks but something would always be wrong with the drink!!

I wouldn't go back unless I was with friends not a place I would pick out again",0,0
0,"Favorite Bar in Pittsburgh....it's where I met my husband. Arthur, Brett, are the most known bartenders. But all the bartenders are great!!!! You will like the crowd, all are welcoming!!!!",0,0
0,Was so excited to find this spot.  The aroma of all of the rich-flavored teas hits as soon as you walk through the door.  Japanese matcha tea went perfectly with the tea cookies and the baba ganoush was some of the best I've had.  Can't wait to come back for some miso soup and baklava:),0,0
0,"Located just steps from the Bellagio North Entrance you'll find Chef Akira Back's Yellowtail, his first of two restaurants in the city. It's an upscale, trendy setting so you can have a fine dining experience without the stuffiness. It overlooks the Bellagio Fountains but honestly it doesn't enhance your experience. The prices are higher than most will expect to pay for Japanese food but you get what you pay for in terms of quality. I will preface this next part by saying I don't eat seafood. Still, I believe I can do justice to this review. 

The restaurant has a lounge area at the entrance overlooking the casino. You'll pass the bar area and small high top tables on the way to their larger, open main dining room. The lights are dim and the noise level is loud enough to feel busy but not so overbearing that it drowns out conversations. I've been here many times (it is one of my favorite restaurants, after all) and the service is great for the most part but it isn't consistently stellar. Still, most times they are friendly and attentive. The food is spectacular in taste and presentation. Have the Big Eye Tuna Pizza start you off. Other great appetizers include the Alaska King Crab Tempura and the Rock Shrimp. Their rolls are good (popular ones include the Happa, Mile High, and Protein Roll) but my vote goes to the Poppin' Spicy Crab Roll because it's pretty unique. When moving to entrees a must is their Jidori Chicken. Don't question me, just do it. You'll be glad you did. For variety get the Filet Mignon Toban - or simply refer to it as the ""Sizzling Plate."" Yes, I know you can get more for less by ordering the Black Angus Ribeye but this tastes better. 

Desserts aren't elaborate but they still taste good. My go-to is their Chocolate in a Cup. It's exactly as it sounds. 

Tip: If you value convenience over money valet at the North Entrance off Flamingo - $21 vs $9 parking fee + free hike to restaurant",0,0
0,"Service was terrible, manager very rude...how does this place stay open??? Ordered a smoothie, waited 10 minutes, went back and asked if ""everything ok"", they said ""I thought u got it already?"" Once I received it, smoothie has 2 big pecans in the bottom that weren't crushed at all...horrible...",0,0
4,"I'm conflicted by this place, I'm in love with what I ordered, but I wasn't crazy about the other things I've sampled.

I ordered a turkey sandwich, but I ordered it without bread. Breadless sandwiches are a bit of an oxymoron but the ingredients are so good they can stand alone as its own quirky dish. The turkey sandwich I ordered were thick slices of warm, fresh turkey, slices of avocado, grilled balsamic onions, crispy bacon, and aioli. It was a perfect meal - I loved the saltiness of the bacon paired with the creaminess of the avocado, and the sweetness of the balsamic onions created balance...it was almost the perfect meal for me.

 I had a friend who ordered the same sandwich but (obviously) with the bread. It tasted like completely different! The ciabatta (as much as I love love love carbs) muted all the saltiness I fell in love with, it actually muted all of the flavor. My friend also ordered the breakfast sandwich, which was pretty good, but still not very memorable. I personally feel like the bread hid all of the high-quality ingredients.

My vote? Definitely worth a try, but I dare you to go bread-less, you might like it~",1,2
2,"I didn't write a review of Industry until I tried it twice. The restaurant is always packed which is a great thing, but the noise level makes it impossible to have a conversation at a normal level. I felt like I was shouting across the table when I was in the main room, and even in the side room I was still shouting even though I thought it would be a little easier to carry on a conversation. 

The restaurant has fun vibes and if you're going out just for a drink, it's great, since there's so much room, unlike many places in Pittsburgh, and you can fit a large group. If you're going out for food, I think it's a little pricey for the food you get. The classic burgers and sandwiches aren't anything special. There are better places to eat, even in Lawrenceville that are better worth my time. Will probably be back for drinks and the huge portion of nachos but if you're trying to have a conversation, this is not the place to go.",0,0
0,Customer service goes above and beyond. Annie was fantastic and very helpful in the phone.  I will definitely use them again.,0,0
7,At first glance they are awesome. Then you try to leave. Finished out the contract with on time payments. Called to cancel because of out of state move they said no problem we will freeze your account till you come back. Yet they forgot to mention during the freeze they would be charing 10 dollars a mth for keeping you eligible to come back. After being blindsided I decided not to join back up. I called in on more than 5 occasions to cancel membership each time I was met with excuses on how they couldnt cancell my acct. Waiting on paperwork to fax into them that never came. Being charged month after month for a membership in another state. Then they threatened to turn me into the credit bureau!  Lol I told them send a physical bill. Apparently they don't do that or email agreements to opt out either. They said give us a new credit card and we promise this is the last payment. Ha! Enjoy paying your own mortgage. My advice don't sign up unless you never want to leave!,0,0
0,"I brought my vehicle in this morning for regular maintenance. These guys are all very nice and professional. Sam was very honest and not in it for the sale. Their location is convenient and my car felt great when I left. Check their website for coupons, this is where I'll be going for the oil changes from now on!",0,0
0,"This is my favorite AYCE, I love their food and I live in the neighborhood, so I'm here 3-4 times a week with friends. The problem with this place is the servers. They are super rude and full of attitude. I want to comeback here, but they either need to train the servers on customer service or hire somebody who knows customer service. I usually tip 20-25%, today I'm tipping $0, and I'm not happy about it but hey, tip is based on customer service.",0,0
0,"Went for dinner last night (a Wednesday) with a friend, my first time. Firstly, the service was excellent. I arrived 20 minutes before my friend so killed time at the bar, where the staff was incredibly friendly. The bartender offered me complimentary bread as I waited - even though I was only sipping a water until my friend arrived.

Those little breads are amazingly delicious, incredibly flavorful, flaky and moist - they almost stole the show from my dinner.

The interior is very nice. We ended up sitting in a generously-sized but very nice booth. (I'm a big girl so worry about sitting in booths that may be too small to accomodate me, but no problems here). The table and combination booth/chair seating looked great and very comfortable. 

My dinner was very, very good. The salmon was crispy and very well seasoned on the outside, and flaky/juicy on the inside. I really would go so far as to say that it was the best-tasting restaurant salmon I've had. The shrimp skewer had a very smoky flavor, just divine. My side was the tomatos covered in balsamic dressing, which tasted as expected, nothing great but not bad at all.

The broccoli/cheese soup had one minor flaw, it was a little too salty for my taste. However, when I bit into the large, obviously fresh and still crunchy pieces of broccoli, that more than made up for the saltiness.

Unfortunately, we lingered a little too long so did not have time for dessert.

I am most definitely going to go back with family members to introduce them to this restaurant. I understand from other comments that this is a chain, but honestly, it was a great experience so that did not matter at all.",0,0
